Station Name,Lat,Long
Abu,24.5926,72.7156
Agartala,23.8315,91.2868
Agra,27.1767,78.0081
Ahmedabad,23.0225,72.5714
Aizwal,23.7271,92.7176
Ajmer,26.4499,74.6399
Akola,20.7059,77.0219
Allahabad,25.4358,81.8463
Ambikapur,23.1355,83.1818
Amini Divi,11.1,72.75
Amritsar,31.634,74.8723
Anantpur,14.6819,77.6006
Androth,10.8126,73.6801
Aurangabad,19.8762,75.3433
Balasore,21.4869,86.9246
Bangalore,12.9716,77.5946
Bareilly,28.367,79.4304
Baroda,22.3072,73.1812
Belgaum Samra,15.8642,74.6108
Bhagalpur,25.3478,86.9824
Bhatinda,30.211,74.9455
Bhopal,23.2599,77.4126
Bhubaneshwar,20.2961,85.8245
Bhuj,23.242,69.6669
Bikaner,28.0229,73.3119
Cannanore,11.8745,75.3704
Chandigarh,30.7333,75.7794
Chennai,13.0827,80.2707
Cherrapunji,25.2717,91.7308
Coimbatore,11.0168,76.9558
Cooch Behar,26.3234,89.3227
Darjeeling,27.036,88.2627
Dehra Dun,30.3165,78.0322
Dharmsala,32.219,76.3234
Dibrugarh,27.4728,94.912
Gadag,15.4325,75.638
Gangtok,27.3389,88.6065
Gaya,24.7955,84.9994
Gopalpur,19.2647,84.862
Gorakhpur,26.7347,83.3362
Gulbarga,17.3297,76.8343
Guwahati,26.1445,91.7362
Gwalior,26.2183,78.1828
Hassan,13.0068,76.0996
Hissar,29.1492,75.7217
Hyderabad,17.385,78.4867
Imphal,24.817,93.9368
Indore,22.7196,75.8577
Jabalpur,23.1815,79.9864
Jagdalpur,82.0299,19.07
Jaipur,26.9124,75.7873
Jaisalmer,26.9157,70.9083
Jammu,32.7266,74.857
Jamshedpur,22.8046,86.2029
Jharsuguda,21.8554,84.0062
Jodhpur,26.2389,73.0243
Joshimath,30.5506,79.566
Jullundur,31.326,75.5762
Kanpur,26.4499,80.3319
Kanyakumari,8.0883,77.5385
Karnal,29.6857,76.9905
Khajuraho,24.8318,79.9199
Kodaikanal,10.2381,77.4892
Kohima,25.6586,94.1053
Kolkata,22.5726,88.3639
Kota,25.2138,75.8648
Kozhikode,11.2588,75.7804
Lucknow,26.8467,80.9462
Ludhiana,30.901,75.8573
Madurai,9.9252,78.1198
Mahabaleshwar,17.9307,73.6477
Malda,25.1786,88.2461
Manali,32.2396,77.1887
Mangalore,12.9141,74.856
Masulipatnam,16.1905,81.1362
Minicoy,8.274,73.0496
Mukteswar,29.4604,79.6558
Mumbai,19.076,72.8777
Mysore,12.2958,76.6394
Nagpur,21.1458,79.0882
Nainital,29.3803,79.4636
Nasik,19.9975,73.7898
Palam,28.5901,77.0888
New Delhi (SFD),28.5495,77.2036
Palakkad,10.7867,76.6548
Panjim,15.4909,73.8278
Parbhani,19.2644,76.6413
Pasighat,28.15,95.33
Patna,25.5941,85.1376
Pondicherry,11.9139,79.8145
Port Blair,11.6234,92.7265
Pune,18.5204,73.8567
Raipur,21.2514,81.6296
Rajkot,22.3039,70.8022
Ranchi,23.3441,85.3096
Sambalpur,21.4669,83.9812
Shillong,25.5788,91.8933
Shimla,31.1048,77.1734
Silchar,24.8333,92.7789
Solapur,17.6599,75.9064
Sri Niketan,23.6644,87.6658
Srinagar,34.0836,74.7973
Surat,21.1702,72.8311
Thiruvananthapuram,8.5241,76.9366
Tirupathy,13.6288,79.4192
Tura,25.5141,90.2032
Udaipur,24.5854,73.7125
Uthagamandalam,11.4064,76.6932
Varanasi,25.3176,82.9739
Vijayawada,16.5062,80.648
Vishakhapatnam,17.6868,83.2185
